City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
142,afaahiti,-17.75,-149.2833,297.08,81,85,4.78,PF,1682680662
143,vorgashor,67.5833,63.95,267.19,87,100,6.78,RU,1682680662
144,abepura,-2.6333,140.5833,300.6,78,20,1.03,ID,1682680663
145,makurdi,7.7411,8.5121,307.14,42,98,1.77,NG,1682680663
146,changchun,43.88,125.3228,281.26,89,99,2.84,CN,1682680483
147,eynesil,41.0645,39.1438,286.08,97,94,3.8,TR,1682680663
148,richfield,44.8833,-93.283,282.82,92,100,4.02,US,1682680664
149,stanley,54.868,-1.6985,282.75,90,75,2.06,GB,1682680664
150,sisimiut,66.9395,-53.6735,271.11,73,24,2.74,GL,1682680664
151,wenling,28.3669,121.36,291.04,90,79,2.62,CN,1682680664
152,kourou,5.1552,-52.6478,297.18,87,96,3.41,GF,1682680665
153,brush,40.2589,-103.6238,277.95,93,0,5.14,US,1682680665
154,alekseyevka,50.6309,38.6903,293.03,58,100,3.28,RU,1682680665
155,simplicio mendes,-7.8539,-41.9103,299.1,71,85,1.56,BR,1682680666
156,murray bridge,-35.1167,139.2667,285.44,68,92,3.71,AU,1682680666
157,piacabucu,-10.4056,-36.4344,300.45,79,24,2.82,BR,1682680666
158,chepo,9.1667,-79.1,298.85,90,94,1.5,PA,1682680666
159,saipan,15.1355,145.701,300.54,83,40,8.23,MP,1682680666
160,vilyuysk,63.7553,121.6247,274.3,94,61,2.74,RU,1682680667
161,muisne,0.6,-80.0333,298.11,88,100,1.33,EC,1682680667
162,salalah,17.0151,54.0924,305.2,66,40,7.2,OM,1682680667
163,puerto baquerizo moreno,-0.9,-89.6,299.03,82,68,4.13,EC,1682680667
164,palmas,-10.2128,-48.3603,299.08,83,0,1.03,BR,1682680448
165,marsabit,2.3284,37.9899,297.69,57,88,5.45,KE,1682680668
166,usinsk,65.9939,57.5281,270.96,72,100,6.25,RU,1682680668
167,palmer,42.1584,-72.3287,279.79,84,100,2.06,US,1682680668
168,okola,4.0167,11.3833,300.11,62,100,0.67,CM,1682680668
169,galveston,29.3669,-94.9669,293.13,91,0,4.63,US,1682680668
170,mejit,10.2753,170.8646,300.19,84,60,8.11,MH,1682680669
171,sao pedro do piaui,-5.9294,-42.7186,296.43,87,93,0.27,BR,1682680669
172,constantia,44.1833,28.65,287.53,47,100,9.21,RO,1682680669
173,alliance,40.9153,-81.1059,286.1,94,100,5.33,US,1682680669
174,manaure,11.7751,-72.4445,300.39,74,53,3.15,CO,1682680669
175,ebon,4.582,168.6964,301.75,76,92,6.21,MH,1682680669
176,kodiak,57.79,-152.4072,274.88,69,20,1.54,US,1682680669
177,yichang,30.7144,111.2847,289.96,73,100,2.89,CN,1682680670
178,salekhard,66.53,66.6019,270.33,78,100,3.23,RU,1682680670
179,queenstown,-31.8976,26.8753,300.75,11,2,9.73,ZA,1682680670
180,carangola,-20.7331,-42.0294,294.24,91,6,0.47,BR,1682680670
181,puerto natales,-51.7236,-72.4875,276.68,98,100,1.15,CL,1682680670
182,mandan,46.8267,-100.8896,277.24,89,100,3.6,US,1682680670
183,guilin,25.2819,110.2864,294.21,97,95,1.65,CN,1682680670
184,hadibu,12.65,54.0333,303.23,65,97,0.47,YE,1682680671
185,svetlograd,45.3353,42.8547,296.76,49,74,3.18,RU,1682680671
186,bakchar,57.0186,82.0711,295.08,36,70,5.68,RU,1682680671
187,strathalbyn,-35.2667,138.9,287.1,94,86,2.93,AU,1682680671
188,coyah,9.75,-13.4167,303.95,45,100,2.28,GN,1682680671
189,kaa-khem,51.6833,94.7333,282.76,52,99,0.91,RU,1682680671
190,cidade velha,14.9167,-23.6167,300.41,54,20,6.17,CV,1682680672
191,papao,-17.75,-149.55,297.97,75,86,3.36,PF,1682680672
192,melekeok village,7.4957,134.6367,301.51,78,98,1.94,PW,1682680672
193,maintirano,-18.0667,44.0167,302.23,60,4,4.97,MG,1682680672
